id arrival begin end wait queue duration serviceTime order
2735 5910 24349 24621 18439 59 272 18711 492
2300 5949 24376 24703 18427 53 327 18754 493
544 5979 24588 24759 18609 62 171 18780 494
3095 5849 24270 24639 18421 63 369 18790 495
2570 5991 24621 24828 18630 60 207 18837 496
1066 6039 24828 24886 18789 61 58 18847 497
1716 6002 24639 24899 18637 62 260 18897 498
3226 6054 24886 24981 18832 62 95 18927 499
3167 6083 24966 25019 18883 68 53 18936 500
3244 5959 24397 24908 18438 64 511 18949 501
401 5965 24438 24966 18473 67 528 19001 502
255 6014 24703 25039 18689 54 336 19025 503
321 6038 24759 25159 18721 63 400 19121 504
508 6075 24908 25253 18833 64 345 19178 505
2469 6126 25019 25314 18893 68 295 19188 506
1487 6221 25388 25417 19167 64 29 19196 507
411 6210 25365 25411 19155 65 46 19201 508
3287 6187 25355 25388 19168 63 33 19201 509
2644 6152 25159 25365 19007 64 206 19213 510
1023 6112 24981 25355 18869 62 374 19243 511
3454 6138 25039 25533 18901 55 494 19395 512
3295 6067 24899 25489 18832 63 590 19422 513
1544 6170 25253 25611 19083 65 358 19441 514
2739 6183 25314 25627 19131 69 313 19444 515
1672 6269 25627 25810 19358 70 183 19541 516
1292 6289 25810 25832 19521 71 22 19543 517
2838 6228 25417 25827 19189 65 410 19599 518
2912 6228 25489 25865 19261 64 376 19637 519
2349 6327 25942 25975 19615 66 33 19648 520
853 6316 25827 25966 19511 66 139 19650 521
998 6331 25966 25981 19635 67 15 19650 522
954 6344 25981 26035 19637 68 54 19691 523
442 6222 25411 25942 19189 66 531 19720 524
2561 6350 26035 26082 19685 69 47 19732 525
2546 6248 25533 26015 19285 55 482 19767 526
956 6256 25611 26103 19355 65 492 19847 527
507 6326 25865 26289 19539 64 424 19963 528
3235 6317 25832 26285 19515 71 453 19968 529
1402 6362 26103 26401 19741 66 298 20039 530
1958 6368 26285 26549 19917 72 264 20181 531
583 6428 26549 26622 20121 73 73 20194 532
996 6350 26015 26577 19665 55 562 20227 533
1354 6332 25975 26564 19643 67 589 20232 534
1021 6399 26289 26648 19890 65 359 20249 535
3013 6446 26648 26706 20202 65 58 20260 536
1749 6357 26082 26677 19725 70 595 20320 537
787 6419 26401 26792 19982 67 391 20373 538
1366 6437 26577 26821 20140 56 244 20384 539
187 6475 26821 26916 20346 57 95 20441 540
1646 6525 26893 26971 20368 69 78 20446 541
1102 6433 26564 26893 20131 68 329 20460 542
2239 6526 26916 27022 20390 58 106 20496 543
96 6439 26622 27081 20183 74 459 20642 544
217 6455 26677 27114 20222 71 437 20659 545
1157 6461 26792 27123 20331 67 331 20662 546
119 6621 27178 27293 20557 67 115 20672 547
2019 6541 26971 27229 20430 70 258 20688 548
659 6633 27335 27351 20702 60 16 20718 549
179 6457 26706 27178 20249 66 472 20721 550
1116 6629 27293 27386 20664 68 93 20757 551
2174 6572 27022 27335 20450 59 313 20763 552
2822 6572 27081 27477 20509 74 396 20905 553
995 6627 27229 27565 20602 70 336 20938 554
2409 6608 27123 27652 20515 67 529 21044 555
1176 6590 27114 27644 20524 70 530 21054 556
2666 6694 27565 27896 20871 71 331 21202 557
2774 6695 27644 27922 20949 70 278 21227 558
459 6675 27386 27941 20711 69 555 21266 559
34 6642 27351 27911 20709 61 560 21269 560
2900 6759 27998 28041 21239 69 43 21282 561
1616 6706 27652 27998 20946 68 346 21292 562
2848 6675 27477 28017 20802 75 540 21342 563
1567 6795 28041 28158 21246 70 117 21363 564
2571 6765 28017 28150 21252 76 133 21385 565
